timeframe,fast_period,slow_period,signal_period,take_profit_pct,histogram_expansion_bars,divergence_lookback,pivot_window,train_bars,test_bars,train_score,train_return_pct,train_max_drawdown_pct,train_sharpe,train_closed_lots,train_win_rate_pct,train_profit_factor,test_return_pct,test_max_drawdown_pct,test_sharpe,test_closed_lots,test_win_rate_pct,test_profit_factor,test_net_pnl_usdt,is_best_for_timeframe
15m,8,35,6,0.025,3,30,3,6005,2592,-2.182561493387573,-0.824081674728277,1.3584798186592961,-3.7928681203416224,1199,36.03002502085071,0.8391514969159113,-0.7678074610028489,0.9254842396113417,-8.094837138493148,499,34.86973947895792,0.7016567889015711,-76.78074610028489,False
15m,8,26,9,0.02,3,30,3,6010,2592,-2.1949350431707693,-0.8573352765006894,1.3375997666700796,-4.24987404875677,1107,36.67570009033423,0.8249368229806704,-0.7401456389630584,0.8929966784873818,-7.701612414163106,475,35.1578947368421,0.7148696144781916,-74.01456389630584,False
15m,10,26,9,0.025,3,30,3,6010,2592,-2.201669644030619,-0.8828265658493184,1.3188430781813008,-4.001482555279921,1059,36.54390934844193,0.8217640697133434,-0.6783676773083062,0.8599314664356693,-6.599675071277011,469,34.54157782515991,0.73558603215095,-67.83676773083062,False
15m,10,26,9,0.015,3,30,3,6010,2592,-2.207821634527927,-0.8990251555591932,1.308796478968734,-4.622603800605941,1048,36.73664122137404,0.8138133996191378,-0.6749578817342626,0.7500269239864855,-7.127564492313912,462,35.4978354978355,0.7283746926204783,-67.49578817342626,False
15m,12,26,6,0.015,3,30,3,6010,2592,-2.208783473023762,-0.8685865720183937,1.3401969010053683,-4.567018185483196,1117,36.61593554162936,0.821247729920939,-0.6223901086128171,0.723051428434696,-6.668032320006185,468,36.53846153846153,0.7466516055658201,-62.23901086128171,False
15m,12,30,6,0.02,3,30,3,6010,2592,-2.261290104137654,-0.8844699632131414,1.3768201409245124,-4.387746689902005,1094,36.38025594149909,0.8197951879032092,-0.5388046981364277,0.7192036824078035,-5.48452472975981,477,36.058700209643604,0.7877182800151445,-53.880469813642776,False
15m,12,26,6,0.02,3,30,3,6010,2592,-2.2696214738859535,-0.9111361680151093,1.358485305870844,-4.52434926185262,1121,36.217662801070475,0.8164218361988713,-0.5377004685167959,0.6881828567849414,-5.465265763189314,471,36.51804670912951,0.7853393607881736,-53.77004685167958,False
15m,12,30,6,0.015,3,30,3,6010,2592,-2.2974655867743072,-0.9037036258440458,1.3937619609302616,-4.775083345181849,1085,36.58986175115208,0.8122434619108538,-0.5362678034091004,0.6219699019534165,-5.709513250883403,472,36.228813559322035,0.783275966466149,-53.626780340910045,False
15m,12,26,6,0.025,3,30,3,6010,2592,-2.306490628913725,-0.9112322332478653,1.3952583956658593,-4.280687779598883,1124,35.85409252669039,0.819010746410697,-0.6900898493883505,0.8498040326361176,-6.84748904902046,472,36.016949152542374,0.725080015739426,-69.00898493883506,False
15m,10,30,6,0.015,3,30,3,6010,2592,-2.3252062814969534,-0.9318224379588538,1.3933838435380996,-4.812496279299513,1138,36.115992970123024,0.8096099574945829,-0.6162327195169381,0.7127002872518998,-6.886018889656583,476,37.39495798319328,0.7490267314252458,-61.62327195169382,False
15m,14,26,6,0.025,3,30,3,6010,2592,-2.335260488442741,-0.8549886224471811,1.4802718659955596,-4.079922628763016,1080,36.01851851851852,0.8251453707497539,-0.4959431467857757,0.7231980212573406,-4.776439488353693,477,35.63941299790356,0.8039393802405189,-49.594314678577575,False
15m,10,26,9,0.02,3,30,3,6010,2592,-2.33873408828971,-1.014270097224744,1.3244639910649658,-4.910795227324066,1056,36.553030303030305,0.7959722633172545,-0.6540750665243468,0.8140112388359035,-6.591066610317088,467,35.33190578158458,0.7432247122726453,-65.40750665243468,False
15m,8,26,9,0.025,3,30,3,6010,2592,-2.339371378559516,-0.9574802137921871,1.3818911647673289,-4.467079220272541,1114,36.44524236983842,0.8097796568386219,-0.8688031580386814,1.0483600736963872,-8.78776387394007,476,34.2436974789916,0.6664695906315385,-86.88031580386814,False
15m,14,26,6,0.015,3,30,3,6010,2592,-2.340373047330151,-0.9092951378399448,1.431077909490206,-4.834727502091068,1069,36.38914873713751,0.8101208384786741,-0.4739754228035053,0.5991767484255142,-4.935910724222712,470,36.17021276595745,0.8071839490313306,-47.397542280350535,False
15m,8,30,9,0.025,3,30,3,6007,2592,-2.3520579840338325,-0.9197778762445341,1.4322801077892982,-4.315912536135377,1109,36.15870153291254,0.8149233484881468,-0.6008796929231539,0.7920821420232439,-5.902294342188463,465,36.344086021505376,0.7611169788323321,-60.08796929231539,False
15m,10,30,6,0.02,3,30,3,6010,2592,-2.3569283105263774,-0.9187884341537392,1.438139876372638,-4.472794970014661,1141,35.67046450482033,0.8154100506201681,-0.5677534764324265,0.7321077376654903,-6.030655369531339,479,37.36951983298539,0.7732252652517506,-56.77534764324264,False
15m,14,30,6,0.025,3,30,3,6010,2592,-2.3630039332927697,-0.9406304421107233,1.4223734911820463,-4.28593324201059,1068,35.767790262172284,0.8132484601993555,-0.44035492074817734,0.6912278519240503,-4.3023457049062355,473,36.57505285412262,0.8194745652455043,-44.03549207481774,False
15m,12,21,9,0.015,3,30,3,6010,2592,-2.3753578842162213,-0.9830548460848876,1.3923030381313335,-4.969176996191594,1036,36.38996138996139,0.7998735275135411,-0.7485735395934534,0.8275906746278866,-7.907740344057462,450,35.77777777777777,0.6978623110652886,-74.85735395934535,False
